titlu,descriere
Apus în pădure,Un apus superb într-o pădure liniștită
Floare de cireș,Flori delicate de primăvară
Râu de munte,Sunetul apei curgătoare e relaxant
Pajiște cu flori sălbatice,Un colț de natură plin de culoare
Cer înstelat,Noaptea liniștită în natură
Frunze în bătaia vântului,O liniște plăcută în mijlocul pădurii.
Floarea soarelui,Câmpuri întinse sub razele soarelui.
Muntele în zori,Ceață ușoară și aer curat la altitudine.
Lacul albastru,Reflexii superbe într-o apă cristalină.
Copacul singuratic,Un arbore izolat într-o poiană largă.
Grădina cu lavandă,Arome și culori liniștitoare într-o zi de vară.
Norii de vară,Cer senin brăzdat de nori pufoși.
Ploaia de toamnă,Stropi reci și frunze galbene peste tot.
Curcubeu după furtună,Un spectacol de culoare după o ploaie scurtă.
Zăpadă neatinsă,"Un covor alb perfect, neatins de pași."
